drive_id,titulo,sugestao_destino,confianca,motivo
1suTHuq_Irehqq9FhjFc3b-KQmvK-gkL7,Balanco_Financeiro_10OUT2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1wUlePaDESvbEGgrdm_RcoFNVETIHSHTj,Balanco_Financeiro_11NOV2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1fEjdKy1YxsJvGlnfGhOAczwhCUz9BIKI,browse.pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1p5udqWv-zI-I42WqgeoD083iZRVzRTm4,CGP_NotaTecnica.pdf,02 — Leis & Jurisprudência/2.5 Infralegal,baixa,portaria/regulamentação/anexo -> 2.5 Infralegal
1iKcaW5bD1OIFG48AxeXC_8WMeL9JNWpk,Chamada B+P Smart Factory - BNDES2025 - Projeto KEEPEE - Keepee Assist (SGF 338383)– Copiaree_Pesquisável.pdf,99 — Inbox / Triagem,media,FORA DE ESCOPO? parece doc de empresa/outro projeto
1itZ0vaGsvHFK4BbozGVJKX9Py7IJJCBM,Cnae_X_Item_Lista_Servicos.pdf,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
14hPZ6ZlJoiNwwvhoP-9WpOM4FC8xaDlt,CONCLUSAO_FASE_DADOS_PERFEITOS.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1cc1wa0PmSfyXfWXp7OGoFviUhmAJOD1T,CONHECIMENTO_MESTRE_IA_V3.1_INABALAVEL.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
17gBHBK2-_yxgjc-A6qNQ5KMU2pyf3ANc,CONHECIMENTO_MESTRE_IA_V3.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1p-icDGiZbmKcEH_jnyJa52L4yo9z4gWR,Contrato de Gestão Comercial e Parceria Estratégica.docx,99 — Inbox / Triagem,media,FORA DE ESCOPO? parece doc de empresa/outro projeto
1CoDNe8BYBdtM97L-s8dPZScI3A6OtffsOg8gaSDuHpM,Controle de Parcelamentos Tributário,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
1yVrF5Q6KUzv7VCSmkJxNyqe0yVPTk8Zu,Controle de Parcelamentos Tributário atualizado.xlsx,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
11f9k8t8nbGGTwlXggPhPPQ1Al8alyZQYc5zyHSSHP0M,Controle de Parcelamentos Tributário para Jira,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
1PPz1Y9Np-2aiPmpZE2Tlkl7Roq5KhC9q,Controle de Parcelamentos Tributário para Jira.xlsx,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
1DjNzdv9DhebFkZ8rB6vSWDeuBJUJTIyk,d833c_05_TEO_89_itens (1).pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1GRu3oAkqrUgbKnARw94xmLXcPN6S8Mm8,d833c_05_TEO_89_itens.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1xie8VKkSo_oP5sZ1MMYjG7q2wn2pl-0d,dados de advogado.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1B0skZ8lObI3B2Q6CAghNNP93IgwQhqcQ,datalake_delta_load_20260307_220830.json,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1zGMGKMe2d-qTBK2Qfj2znS3eRy0RMWvY,dl-57-1966 (1).txt,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
1j5RrD-324T5alXV_dDRISA4rEkeQe-_o,dl-57-1966.txt,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
17jxDexBvXStSVCsu3T5wYDcer-JHAcPz,documento_final_ia.pdf,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1-wKwgGwf-arJb9AODxKuVUs_rzGqbr8H,download.pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1s_vU0VW1j8Zj4_usuE_WvbHrliFOkt7-,downloadPeca.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1pYIWFnIHIoDwV50tD6AJH06txHiSE6HZ,ec-116-2022.txt,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
1gYvYSuvLnsNSv2XvLpxDebuqTxVS9ynD,ec-132-2023.txt,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
1tvefC5VKryIGFCYxm8fC642nqKtOeKMU,ec-132-20273.txt,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
1K5mLZoGE5ICxkjjkBXnRGHixaga3J7ZX,ec-29-2000.txt,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
1zTprFDf2qogUaDtcCUmrHCOHuw1X_gep,ESTRUTURA_SILVER_IA.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1wp7fSIGqreMp5JbviJiCduxl4s9WFzqy,fila_tdc_5porcento_fundurb-2026- fevereiro.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1H0bFBm-FV7VyfELOQh6x5K9c2wFuS5bZ,fila_tdc_5porcento_fundurb_dez_2025-pdf.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1AmRGYZCmDE3_pXSBelD-zrRpWbTn6L8y,FileFetch.pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1Gh_J3eJamRTXWv4cbuwiyeUTa0zOCMMQ,Fisco não pode revisar lançamento com base em fatos já conhecidos.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1uGXJxoaXee6xEg-Cyjqh2YFadd3XIN1o,FUNDURB_Balanco_Financeiro_Consolidado_01JAN_2026.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1MIWFnNts-x1GKmEDYPudPKXqk87x9FCh,GatewayCertificaPDF (1).pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1YiWDsj_vYfFoqfSR1nznIzKZJM4RFA-9,GatewayCertificaPDF (2).pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
14glqKHH57Hrn9RbS5F0e_oBZwHDq2hS0,GatewayCertificaPDF.pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1qmjICeFlmDRs1WXG64Nccz4IiDdsk1_o,GatewayPDF.pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
17lSV7mb1a5API54-R2aJcIG39e5rlVPX,GUIA DE ESTRUTURA DE PASTAS - GOOGLE DRIVE.pdf,99 — Inbox / Triagem,media,FORA DE ESCOPO? parece doc de empresa/outro projeto
1tmfcxSqiNqYuEIaBNDuEZr9a-cezjxSw,HIERARQUIA_DE_FONTES_ORACULO.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1gS2rONEUKB_0npohXGmnPtNpjB_OkorOuU5bj6gSjLM,Imóveis Tombados e Elegíveis para TDC,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1kRwaS672KC1MQow2VfVBf_AlaNAd6owS,iphan_sao_paulo_sp_1591728555.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1clixZA0K8CCoLMiF-a-YWsYKDGWS2jWG,Jeronimo Dix-Neuf Rosado dos Santos.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
19bSySq_pzYuHrOyGTG7hsr49klQIuJL6,L6.015consolidado.pdf,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
1jCeAaRZjLtUub3gAoycOOb8Keii-Ymia,Lcp 227.pdf,02 — Leis & Jurisprudência/2.4 Federal e Constituição,alta,norma federal/EC/LC -> Federal e Constituição
13BfvQbViHWdsXQmCoEuwH3NcFshLqVE,Levantamento Preliminar TDC,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
13Osb_XhQ1p8kbV3a3IGLFUJKUYs3hZ8,Levantamento Preliminar TDC (File responses),02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1WAKYRURg1_Vu3VD29r_hFfV_UFTlEISQ,log_extracao_textual_silver_20260307_233509.json,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1GyOTXrKvFeHRrJbEZVN_J4VjdwJRrzXb,MANIFESTO_AUDITORIA_PROJETO.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1WRRf1F7yVw088yf_-rmcqL2BbIaNVmzx,manifesto_datalake_20260307_221836.json,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1K9x76SnkKDUi2XulzHHvcCCoR_GiyGU4,MANIFESTO_PLATINA_FINAL.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1Wfw7l-hBDl--T-YNF0URR4QvbhNA4Gy8,MANIFESTO_TOTAL_DE_TRANSICAO.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1vHojOn-1-92kYQ12wiD8puiP24mwcykn,manual de licenciamento de projetos.pdf,02 — Leis & Jurisprudência/2.5 Infralegal,baixa,portaria/regulamentação/anexo -> 2.5 Infralegal
1EXx9TlRegzD-ko8lVWCBkGZt1PlaiNNG,MANUAL DE PADRONIZAÇÃO TÉCNICA - RAG PIPELINE.pdf,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1ju82YtOpBEWFJVH9py4rajcbSeKb1HwsiwUdYvzErZ4,Manual Operacional Negócio TDC,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1KVspqKo2nYGzgskCjTMvu3_uRXNEePIs,Mapa 05 22(1).pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1Rm8r0zvXhBi0Lc3sdcHh-DJSaRieN5mV,Mapa03_QUOTA.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1l4JDsh7Jx7K8r9Ywc7HwvAncU-Pim7p4,Mapa04_GARAGEM.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1rQp0t-YV8zyFi7yGfLAJ2a1F846KdCGh,Mapa1_ZONAS_com_perimetros_vetados.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1e1dDm6_LlzQjys3xjqM3rKHm1pmiLyti,MAPA_39924_POS_VETOS (1).pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1bKOnLh0xrDfk1zVHDsehKd_exQ6vszWv,Mapas 1 a 9.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1IEoFiqIKuZqDuoJ71olaeOnefRLKTr-I,MASTER_RITOS_E_PROCEDIMENTOS.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1D1C2YKS3KoWU4xlCMxsappPSwkMez2jm,MON.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1NCd6OgavWjNJ5rYFPl7tc7ZnpaAwTaRm,MOTOR_3_CATALOGO_ESPACIAL.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1kihuu3OjZ6ry3JJVdccfw8jYZhJMWioL,mover_pdfs_STJ.ps1,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1L8cE_VvDDmICM8_jnQBnSTYIBDrdbYJd,Nova_test.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
10tCiERz2YTwc44ExghpT2yuwDJbk4IMy,Novo Relatorio SITE 2021.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1UAb7j8_MI6gqEy5xfk84mzQX4_f2pRCzlK_8AQvUREM,Novo TDC,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1KhlNNaRHXWT6k7LLxRjRjRbICyz6VzuA0FxwUWtmXGQ,Novo TDC,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1dDHjx68lbWMWhwdA_-Rvh7OojefVJPF6,Novo TDC.xlsx,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1TkS48mVcsC92nJIqVzig4ov6L_fahNlo,ORACULO_GEOGRAFICO_DEFINITIVO_V3.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1S1r4a6fJLSXAfSwrBeZNvlSlRI0EyB2L,ORACULO_MESTRE_RELACIONAL_V4.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1cjBeEUDYRMEWTS6yKmPo4O0AVi0wJnfB,Pedido de Reconhecimento de Complexo de Saúde por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1u2aLvVGM-xzoLhSs8RA_bY2ss8N6bbE1,PLANTAS.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1_D6ONkTvbPshCxdcSezp8PhKxNNX92VU,Portal de Serviços e-SAJ.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1QQoWH8O3AAwMS8p7GxGFKMYySK-i-qrd,Portal de Serviços e-SAJ2.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
14z4do86ipEULjsYUMUp3qpmufgJQE2wy,Portal de Serviços e-SAJ3.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
14jkVUB4_uiXF9VJ0OO2A8V4RHJR8czo3,Portal de Serviços e-SAJ5.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1C8sciB0TaLmgpbyEjR_UEYGoo5576U0-,Portal de Serviços e-SAJ6.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1lxvi9Ss2vVfat1UJ6qn4ZBduVq5Nz76O,Projeto de Intervenção Urbana apresentado por particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1dKEYckBqmnsZlulx8RfyV4Laym_PUB1M,puliccompletaport_alt.pdf,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1s-E2MuTualbhmP1ZvFqmsDySO6RNDZ0J,Quadro 1 – Conceitos e definições.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1VbpjUD882vUEJAFevaW6-YiXQKSTPaNg,Quadro 3B - Composição da pontuação da Quota Ambiental.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1S-3rIMC1JdeCqUMEciVs77G5mkV0ANcS,Quadro 6 – Obras de drenagem urbana previstas.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1Rhs1yxu0IFcCCl28giq84TXBU3_W_rFL,QUADROS.pdf,05 — Geo / Mapas,media,mapa/planta/quadro -> Geo
1j1LM2I2DNz9GMxKGEfDJO-YD2cJX5bLt,r que.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1NuYXYCCZQP57ZQelQKRRiKZE7Ia5zIdU,Re0716RegulamentacaoProcedimentosRegistroBensImateriaisPDF_1457716829.pdf,02 — Leis & Jurisprudência/2.5 Infralegal,baixa,portaria/regulamentação/anexo -> 2.5 Infralegal
1Y28tvDDfTSZGorc3aZgXgNRuKTP96bQk,re1219aptconjuntovilasoperariasmigliaripdfve_1568922885.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1beVEYuySxBQFEwfS8FtApFmJwPl8CdJa,RELATORIO_DUPLICADOS_FORENSE.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1V_lQK7PiPiOu9ZCUoyQ5Y0A5tsKoaqoC,RELATORIO_INTEGRIDADE_MAPAS_FINAL.md,00 — Governança & Índice,media,base de conhecimento/IA do projeto -> Governança
1AG-qnw8mPssdrzthvG5_E57P-eJMwWiZ,Requerimento DEUSO(1).pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
18lqzAEwTh5EK_osq3MndozlrvOmUWrBx,s.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1PgtgfPMxPc_S7k4vIh4o-jsj0VaYkyNu,Tabela VI - Tipos e padrões de construção - Lei 16768-2017.tgz,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1lkzW2nPJsGS-55EfVlBQPLUArc7xdgFh,tabela_2025_Retificado_em_12-02-25.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1MLutS0a6O6dN9MSATC0C_V-gdwcay4iInVDN5lwuWbM,Tdc Incompleto ,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1QmHE2DSV7_5iosTo7JDrtwAUnUf0VM89b2ViCjHDFNI,TDC OFICIAL,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1--RLUIR6Dfi1qoSWOK3EJI0p7p1mKcwe,test-download.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1TTtd8pr_t4jFIkW8BLzTXX1-UTmIR-X9,Todas as 7 páginas renderizaram normalmente.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1B9YUKwtDjLtYVMBBSstnsiJaiOe6zQ45,Todos os __12 arquivos__ foram baixados com sucesso.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1Wyh9ZL0BZDhPqT5-RL0IH9Ok0eMGjcSy,Transferência do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1qj-x3grT5O19SLvrQgCidkym2wM5onki,Transferência do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura2.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1BtOrPirKvSa-mfz0qfoQpMoA3SSIF2b8Bamw4AzzPNo,tributario 2,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
1_96kREpfCCf1f5R6D7UHPuFoX8M9Uxv6WofJRyPNfss,Tributario Cidades 2,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
1QyrOayOt5AeNxaw3nUytdRlFgBxQfJ9KN8Soa_vdXkQ,Validação Memorial Técnico TDC São Paulo,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
19OwrBS4xZOdfjdAVsZrqThZe_JCepImMbWbMij_Xmyg,Validação Memorial Técnico TDC São Paulo,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
